文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
103,NewtonVan,1.2.2-rc01,2023-03-14 20:23:57,NONE,"Hi, may I have apply for 63",[Good First Issue] Doris' Future,0,apply;do
104,Yukang-Lian,1.2.2-rc01,2023-03-14 20:25:49,COLLABORATOR AUTHOR," Hi, may I have apply for 63yeah!",[Good First Issue] Doris' Future,1,apply;do;yeah
105,nanfeng1999,1.2.2-rc01,2023-03-14 20:31:26,COLLABORATOR,Hello，Can you 【assign】 57 to me？,[Good First Issue] Doris' Future,0,assign;do
106,Yukang-Lian,1.2.2-rc01,2023-03-14 21:10:46,COLLABORATOR AUTHOR, Hello，Can you 【assign】 57 to me？OK.,[Good First Issue] Doris' Future,0,assign;do
107,Yanko-7,1.2.2-rc01,2023-03-16 13:33:11,CONTRIBUTOR,"Hi, I want to apply for 61",[Good First Issue] Doris' Future,0,apply;do;want
108,Yukang-Lian,1.2.2-rc01,2023-03-16 13:55:16,COLLABORATOR AUTHOR," Hi, I 【want】 to apply for 61Done.",[Good First Issue] Doris' Future,0,apply;do;want
109,Collin033,1.2.2-rc01,2023-03-16 21:54:40,NONE,"Hi! I'm 【new】 here, I master some c++ skills, could anyone 【assign】 a task to me? ",[Good First Issue] Doris' Future,1,assign;task;do;new
110,Yukang-Lian,1.2.2-rc01,2023-03-17 00:25:01,COLLABORATOR AUTHOR," Hi! I'm 【new】 here, I master some c++ skills, could anyone 【assign】 a task to me?you can choose one.",[Good First Issue] Doris' Future,1,assign;task;do;new
111,Collin033,1.2.2-rc01,2023-03-17 00:35:28,NONE, may I have 【task】 54?,[Good First Issue] Doris' Future,0,task;do
112,Yukang-Lian,1.2.2-rc01,2023-03-17 00:39:28,COLLABORATOR AUTHOR,    may I have 【task】 54?of course!,[Good First Issue] Doris' Future,1,task;do
113,imSanko,1.2.2-rc01,2023-03-17 01:42:37,NONE,Any 【task】 for me ?,[Good First Issue] Doris' Future,0,task;do
114,Yukang-Lian,1.2.2-rc01,2023-03-17 09:56:11,COLLABORATOR AUTHOR, Any task for me ?You can choose a task you 【like】.,[Good First Issue] Doris' Future,1,like;task;do
115,yuxuan-luo,1.2.2-rc01,2023-03-20 01:30:51,CONTRIBUTOR,"【Task】 64, please 【assign】 to me",[Good First Issue] Doris' Future,1,assign;task;do
116,Yukang-Lian,1.2.2-rc01,2023-03-20 11:02:02,COLLABORATOR AUTHOR," 【Task】 64, please 【assign】 to meDone.",[Good First Issue] Doris' Future,1,assign;task;do
117,gitccl,1.2.2-rc01,2023-03-20 23:28:26,COLLABORATOR,"Hi, I'd 【like】 to 【do】 【task】 66.",[Good First Issue] Doris' Future,1,like;task;do
118,Yukang-Lian,1.2.2-rc01,2023-03-21 10:07:50,COLLABORATOR AUTHOR," Hi, I'd 【like】 to 【do】 【task】 66.OK",[Good First Issue] Doris' Future,1,like;task;do
119,xdu-chenrj,1.2.2-rc01,2023-03-24 20:37:50,NONE,Can I help with number 68?,[Good First Issue] Doris' Future,0,help;do
120,Yukang-Lian,1.2.2-rc01,2023-03-24 20:40:01,COLLABORATOR AUTHOR, Can I help with number 68?Of course!,[Good First Issue] Doris' Future,1,help;do
121,ProGrinder,1.2.2-rc01,2023-03-25 10:18:18,NONE,"Hi, I'd 【like】 to 【try】 【task】 72, could you 【assign】 it to me?",[Good First Issue] Doris' Future,1,try;assign;like;task;do
122,Yukang-Lian,1.2.2-rc01,2023-03-25 11:17:05,COLLABORATOR AUTHOR," Hi, I'd 【like】 to 【try】 【task】 72, could you 【assign】 it to me?Done.",[Good First Issue] Doris' Future,1,try;assign;like;task;do
123,ProGrinder,1.2.2-rc01,2023-03-25 11:51:31,NONE,"  Hi, I'd 【like】 to 【try】 【task】 72, could you 【assign】 it to me?  Done.it seems you 【assign】 71 for me,  but fine，I'll do this task.now I wanna know how can i contact with my 【Mentor】? I can't find a contact way in his github profile. (may i add your wechat?",[Good First Issue] Doris' Future,1,try;assign;like;task;do;mentor
124,Yukang-Lian,1.2.2-rc01,2023-03-25 12:03:48,COLLABORATOR AUTHOR,"   Hi, I'd 【like】 to 【try】 【task】 72, could you 【assign】it to me?      Done.  it seems you 【assign】 71 for me, but fine，I'll do this task. now I wanna know how can i contact with my 【Mentor】? I can't find a contact way in his github profile. (may i add your wechat?Oh, it's my fault, haha. You can add my WeChat `abmdocrtlyk`.",[Good First Issue] Doris' Future,1,try;assign;like;task;do;mentor
125,silence-club,1.2.2-rc01,2023-03-25 21:38:24,NONE,"Hi, I'm a 【newbie】，can I 【try】 【task】 73？",[Good First Issue] Doris' Future,0,try;task;do;new;newbie
126,Yukang-Lian,1.2.2-rc01,2023-03-25 22:00:54,COLLABORATOR AUTHOR," Hi, I'm a 【newbie】，can I 【try】 【task】 73？Yeah!",[Good First Issue] Doris' Future,1,try;task;do;new;yeah;newbie
127,gitccl,1.2.2-rc01,2023-03-26 23:12:45,COLLABORATOR,"Hi, I'd 【like】 to 【do】 【task】 75.",[Good First Issue] Doris' Future,1,like;task;do
128,Yukang-Lian,1.2.2-rc01,2023-03-26 23:31:30,COLLABORATOR AUTHOR," Hi, I'd 【like】 to 【do】 【task】 75.Done.",[Good First Issue] Doris' Future,1,like;task;do
129,Attackingwhale,1.2.2-rc01,2023-03-27 18:25:31,NONE,"Hi, I think this project is a bit 【difficult】 for me, and because of personal learning reasons, how to prepare for exams and participate in school competitions, I don't know if I can give up this project. I previously participated in task 42",[Good First Issue] Doris' Future,-1,task;do;difficult
130,Yukang-Lian,1.2.2-rc01,2023-03-27 22:50:51,COLLABORATOR AUTHOR," Hi, I think this project is a bit 【difficult】 for me, and because of personal learning reasons, how to prepare for exams and participate in school competitions, I don't know if I can give up this project. I previously participated in task 42Don't worry, it's OK.",[Good First Issue] Doris' Future,-1,task;do;difficult
131,tobehardest,1.2.2-rc01,2023-03-29 11:42:04,NONE,"Hi I am a 【newbie】 and I 【want】 to 【try】 to see if I can complete 72, can you 【assign】 it to me?",[Good First Issue] Doris' Future,0,try;assign;do;new;want;newbie
132,Yukang-Lian,1.2.2-rc01,2023-03-29 11:52:18,COLLABORATOR AUTHOR," Hi I am a 【newbie】 and I 【want】 to 【try】 to see if I can complete 72, can you 【assign】 it to me?Done.",[Good First Issue] Doris' Future,0,try;assign;do;new;want;newbie
133,zhangstar333,1.2.2-rc01,2023-03-29 15:04:18,CONTRIBUTOR,"@herry2038 hello, could see this issue.  and @YukangLian  he 【wants】 to 【do】task of 74, could mark it, thanks!",[Good First Issue] Doris' Future,1,thanks;task;do;want
134,Yukang-Lian,1.2.2-rc01,2023-03-29 15:16:06,COLLABORATOR AUTHOR," @herry2038 hello, could see this issue. and @YukangLian he 【wants】 to 【do】 task of 74, could mark it, thanks!OK.",[Good First Issue] Doris' Future,1,thanks;task;do;want
135,Zhiyu-h,1.2.2-rc01,2023-03-29 20:39:51,NONE,"hello,I 【want】 to complete 【task】 of 77, could mark it, thanks",[Good First Issue] Doris' Future,1,thanks;task;do;want
136,tanghw9827,1.2.2-rc01,2023-03-29 20:43:13,NONE,"Hi, I'd 【like】 to 【do】 【task】 69.",[Good First Issue] Doris' Future,1,like;task;do
137,Yukang-Lian,1.2.2-rc01,2023-03-29 20:58:29,COLLABORATOR AUTHOR," hello,I 【want】 to complete 【task】 of 77, could mark it, thanks Hi, I'd like to 【do】 task 69.Done.",[Good First Issue] Doris' Future,1,thanks;like;task;do;want
138,SAGIRI-kawaii,1.2.2-rc01,2023-03-29 22:46:38,NONE,"Hello, I am a beginner. May I ask if 【task】 76 can be 【assigned】 to me? I would like to give it a 【try】. @YukangLian ",[Good First Issue] Doris' Future,0,try;assign;like;task;do
139,Yukang-Lian,1.2.2-rc01,2023-03-29 23:06:22,COLLABORATOR AUTHOR," Hello, I am a beginner. May I ask if [task】 76 can be 【assigned】 to me? I would like to give it a 【try】. @YukangLianOf course!",[Good First Issue] Doris' Future,1,try;assign;like;task;do
140,ZashJie,1.2.2-rc01,2023-03-29 23:57:15,CONTRIBUTOR,"Hi, I'd 【like】 to 【do】【task】 42, thanks!",[Good First Issue] Doris' Future,1,thanks;like;task;do
141,Yukang-Lian,1.2.2-rc01,2023-03-30 00:16:48,COLLABORATOR AUTHOR," Hi, I'd 【like】 to 【do】 【task】 42, thanks!Done.",[Good First Issue] Doris' Future,1,thanks;like;task;do
142,pedroluiznogueira,1.2.2-rc01,2023-04-02 06:01:58,NONE,Can we update this list? 55 it's done.,[Good First Issue] Doris' Future,0,do
143,Yukang-Lian,1.2.2-rc01,2023-04-02 15:40:32,COLLABORATOR AUTHOR, Can we update this list? 55 it's done.【Sorry】 for that. Updated now.,[Good First Issue] Doris' Future,-1,sorry;do
144,ZhangYu0123,1.2.2-rc01,2023-04-03 08:31:24,CONTRIBUTOR,"Is arrayshuffle function planned to 【support】?   @YukangLian Hivesql and sparksql supported shuffle(array) function like this:<img width=""546"" alt=""image"" src=""https://userimages.githubusercontent.com/67053339/229387781290d4972fd4c4176bc41f834b37f92c6.png""pr is https://github.com/apache/doris/pull/18116",[Good First Issue] Doris' Future,1,support;like;do
145,Yukang-Lian,1.2.2-rc01,2023-04-03 11:34:41,COLLABORATOR AUTHOR," Is arrayshuffle function planned to 【support】? @YukangLian Hivesql and sparksql supported shuffle(array) function like this: <img alt=""image"" width=""546"" src=""https://userimages.githubusercontent.com/67053339/229387781290d4972fd4c4176bc41f834b37f92c6.png""  pr is 18116Yeah, thanks for your contribution!",[Good First Issue] Doris' Future,1,support;thanks;like;do;yeah
146,yixiutt,1.2.2-rc01,2023-04-06 21:42:17,CONTRIBUTOR,@YukangLian please add issue [18446](https://github.com/apache/doris/issues/18446) to the list,[Good First Issue] Doris' Future,1,do
147,Yukang-Lian,1.2.2-rc01,2023-04-06 21:54:52,COLLABORATOR AUTHOR, @YukangLian please add issue [18446](https://github.com/apache/doris/issues/18446) to the listDone.,[Good First Issue] Doris' Future,1,do
148,gitccl,1.2.2-rc01,2023-04-08 11:16:43,COLLABORATOR,"Hi, I'd 【like】 to 【do】 【task】 80.",[Good First Issue] Doris' Future,1,like;task;do
149,pedroluiznogueira,1.2.2-rc01,2023-04-08 11:23:03,NONE,I'd【like】 to work on 79 @YukangLian ,[Good First Issue] Doris' Future,1,like;do
150,Yukang-Lian,1.2.2-rc01,2023-04-08 12:19:33,COLLABORATOR AUTHOR," Hi, I'd 【like】 to 【do】 【task】 80. I'd 【like] to work on 79 @YukangLianDone.",[Good First Issue] Doris' Future,1,like;task;do
151,freemandealer,1.2.2-rc01,2023-04-12 21:22:21,CONTRIBUTOR,Add code refactoring 【task】 for data loading https://github.com/apache/doris/issues/18476,[Good First Issue] Doris' Future,0,load;task;do
152,nextdreamblue,1.2.2-rc01,2023-04-12 21:36:46,CONTRIBUTOR,"@dataroaring  @YukangLian i can focus on this issue, please 【assign】 it to me",[Good First Issue] Doris' Future,1,assign;do
153,Yukang-Lian,1.2.2-rc01,2023-04-12 23:47:00,COLLABORATOR AUTHOR," Add code refactoring 【task】 for data loading 18476 @dataroaring @YukangLian i can focus on this issue, please assign it to meDone.",[Good First Issue] Doris' Future,1,load;assign;task;do
154,MisakiNemo,1.2.2-rc01,2023-04-13 12:56:41,NONE,I would 【like】 to 【do】 the 【task】 87.,[Good First Issue] Doris' Future,0,like;task;do
155,Yukang-Lian,1.2.2-rc01,2023-04-13 13:18:18,COLLABORATOR AUTHOR, I would 【like】 to 【do】 the 【task】 87.ok,[Good First Issue] Doris' Future,0,like;task;do
156,aprilsoo,1.2.2-rc01,2023-04-17 14:09:59,NONE,"I would 【like】 to give it a 【try】,please 【assign】 it to me ",[Good First Issue] Doris' Future,1,try;assign;like;do
157,imSanko,1.2.2-rc01,2023-04-17 19:05:26,NONE,Can you 【assign】 this work me ?,[Good First Issue] Doris' Future,0,assign;do
158,Yukang-Lian,1.2.2-rc01,2023-04-17 20:04:33,COLLABORATOR AUTHOR," I would 【like】 to give it a 【try】,please 【assign】 it to me Can you 【assign】 this work me ?which task?",[Good First Issue] Doris' Future,1,try;assign;like;task;do
159,aprilsoo,1.2.2-rc01,2023-04-18 14:45:51,NONE,【task】 24,[Good First Issue] Doris' Future,0,task;do
160,Yukang-Lian,1.2.2-rc01,2023-04-18 14:55:53,COLLABORATOR AUTHOR," 【task】 24I am 【sorry】, 【task】 24 has been assigned to someone else, you can choose another one.",[Good First Issue] Doris' Future,-1,assign;sorry;task;do
161,aprilsoo,1.2.2-rc01,2023-04-18 14:58:53,NONE,【task】 71,[Good First Issue] Doris' Future,0,task;do
162,Yukang-Lian,1.2.2-rc01,2023-04-18 15:19:38,COLLABORATOR AUTHOR," 【tas】k 71If the `Status` shows `waiting to be selected`, it means you can choose this task. Task 71's `Status` is `DOING`, it means someone else has taken this task. So you need to select another task.",[Good First Issue] Doris' Future,0,select;task;do
163,aprilsoo,1.2.2-rc01,2023-04-18 15:22:29,NONE,"【Sorry】, this is my first time, Can I choose 【task】 87",[Good First Issue] Doris' Future,-1,sorry;task;do
164,Yukang-Lian,1.2.2-rc01,2023-04-18 15:26:04,COLLABORATOR AUTHOR," 【Sorry】, this is my first time, Can I choose task 87Don't worry about that. Can you add my WeChat `abmdocrtlyk`? Let's have a discussion.",[Good First Issue] Doris' Future,-1,sorry;task;do
165,JoyJeeo,1.2.2-rc01,2023-04-25 17:06:49,NONE,"I 【want】 to complete 【task】 84,can I.",[Good First Issue] Doris' Future,0,task;do;want
166,Yukang-Lian,1.2.2-rc01,2023-04-26 00:33:46,COLLABORATOR AUTHOR," I 【want】 to complete 【task】 84,can I.Done.",[Good First Issue] Doris' Future,0,task;do;want
167,byrantwithyou,1.2.2-rc01,2023-04-29 23:46:27,NONE,Hi. I 【want】 to 【do】issue 86. Could you 【assign】 it to me?,[Good First Issue] Doris' Future,0,assign;do;want
168,morningman,1.2.2-rc01,2023-05-01 23:28:01,CONTRIBUTOR, Hi. I 【want】 to 【do】 issue 86. Could you 【assign】 it to me?Done,[Good First Issue] Doris' Future,0,assign;do;want
169,morningman,1.2.2-rc01,2023-05-01 23:29:38,CONTRIBUTOR, Hi. I 【want】 to 【do】 issue 86. Could you 【assign】 it to me?【Sorry】 that 86 has been taken by @nextdreamblue . I have updated the sheet,[Good First Issue] Doris' Future,-1,assign;sorry;do;want
170,big-blood,1.2.2-rc01,2023-05-23 10:07:09,NONE,"hello, where is the list of 【Good First Issues】? Are all issues with [dorisfuture] labels 【Good First Issues】?",[【Good First Issue】] Doris' Future,0,do;good first issues
171,Yukang-Lian,1.2.2-rc01,2023-05-23 10:38:23,COLLABORATOR AUTHOR," hello, where is the list of 【Good First Issues】? Are all issues with [dorisfuture] labels 【Good First Issues】?Yes!",[【Good First Issue】] Doris' Future,1,do;good first issues
